Sample,Site,Region,Instrument,Component,Ware,Incision,Glaze_or_slip_color,Provenance,Na2O,MgO,Al2O3,SiO2,K2O,CaO,MnO,FeO,CuO,SnO2,PbO,Total
TA1,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Lustreware,,,Imported,7.3,4,1.3,68.4,4,5,0.5,0.3,,5.1,4.9,100.8
TA10,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Underglaze,,,Local Group B,1.5,0.6,15.9,55.6,2,2.3,0.2,2.6,0.3,,18,99
TA10,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Underglaze,,,Local Group B,0.8,0.4,2,36.9,0.5,1.3,0.8,1.7,,,55.8,100.2
TA11,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Slipware,,,Local Group B,1.1,0.7,19,53,2.2,1.1,0.1,1.1,,,21.9,100.2
TA11,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Slipware,,,Local Group B,0.5,0.3,1.8,34.7,0.4,1.7,1.1,4,,,55.4,99.9
TA12,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Black Slip,Slipware,,,Local Group B,1.3,0.5,17.5,44.5,4.2,1.3,2.3,10.1,,,17.5,99.2
TA12,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Slipware,,,Local-regional Group C,1,0.6,2.8,35.7,1.2,1.8,2.2,5.8,0.2,,48.7,100
TA13,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Underglaze,,,Local-regional Group C,2,0.6,26.1,42.7,4.9,1.1,,1.6,,,20,99
TA13,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Underglaze,,,Local-regional Group C,1.3,0.8,3.1,50.5,2.7,2,0,0.9,0,,38.8,100.1
TA2,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Underglaze,,,Local-regional Group C,1.6,0.4,25.2,56.7,5.6,1.5,,0.4,,,8.2,99.6
TA2,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Underglaze,,,Local-regional Group C,0.9,0.4,1.7,36.4,0.5,1.1,0.1,0.6,0.2,0.2,58.1,100.2
TA3,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Slipware,,,Local Group B,1.8,0.2,24.8,50.1,2.6,1.3,,0.5,,,17.8,99.1
TA3,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Slipware,,,Local Group B,0.7,0.2,2.4,38.1,0.5,1.1,0.3,0.5,0.4,,53.1,97.3
TA4,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Splashed,Y,,Local-regional Group C,2.3,0.3,22.5,51.4,3.7,1.4,,0.4,0.3,,16.7,99
TA4,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Splashed,Y,,Local-regional Group C,1.1,0.6,2.4,39.1,1,1.7,,0.9,1,,52.2,100
TA5,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Underglaze,,,Local Group B,2.8,0.3,24,51.2,2.8,1.4,,0.9,0.1,,16.2,99.7
TA5,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Underglaze,,,Local Group B,1,0.3,3.6,38.6,0.6,1.1,0.1,1.8,0.6,,52.4,100.1
TA6,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Opaque,,,Imported,2.8,0.9,2.1,52.1,4,2.6,,0.5,,5.6,29.6,100.2
TA7,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Splashed,Y,,Local Group B,2,0.4,18.7,50.3,2.6,1.9,,1,0.5,,22.2,99.6
TA7,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Splashed,Y,,Local Group B,0.7,0.6,2.2,39.9,0.7,2.2,,0.6,2.9,,49.9,99.7
TA8,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Slipware,,,Local-regional Group C,1.8,0.8,23,46.1,4.8,0.6,,0.9,0.1,,21.3,99.4
TA8,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Slipware,,,Local-regional Group C,1.3,0.4,1.6,36.4,2,1.3,0.3,5.3,,,51.6,100.2
TA9,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Underglaze,,,Local Group A,0.9,1,24.5,50.8,3.8,5.6,,1.3,,,11.2,99.1
TA9,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Underglaze,,,Local Group A,0.3,0.2,5,37.4,0.6,2.9,,0.9,,,52.8,100.1
TS1,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Opaque,,,Imported,2.4,0.8,2.1,48.5,3.4,2.6,,1.4,,4.8,34.4,100.4
TS2,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Black Slip,Underglaze,,,Imported,1.5,0.7,15.2,47.2,4,3.3,3.1,12.6,,,10,97.6
TS2,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Underglaze,,,Local Group A,1.4,0.6,3.7,41.1,1.8,1.8,0.8,3.4,0.2,,45.3,100.1
TS3,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Monochrome,,Green,Local Group A,0.7,0.5,2.7,33.9,1.1,3,0,1.2,2.7,,54.1,99.9
TS4,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Alkali,,,Local Group A,5.6,1,15,69.7,6.5,1.4,,0.4,,,0,99.6
TS4,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Alkali,,,Local Group A,8,1.5,11,67.1,7.3,2.7,0.3,0.5,0.7,,0.2,99.3
TS5,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Alkali,,,Local Group A,3.6,0.8,14.3,73.5,3.3,3.1,,1.3,,,0,99.9
TS5,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Alkali,,Blue,Local Group A,12.3,2.2,3.4,67.7,4.4,3.7,0,0.8,5.1,,0.1,99.7
TS6,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Alkali,,,Local Group A,4.6,0.7,11.2,73.4,6.1,2.1,,1,1,,0,100.1
TS6,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Alkali,,Blue,Local Group A,8.7,2.1,4.3,68.7,5.8,4.3,0.3,1,4.1,,0.3,99.6
TS7,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Alkali,,,Local Group A,3.7,0.2,12.5,79.1,4,0.3,,0.2,,,0,100
TS7,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Alkali,,Blue,Local Group A,7.1,2.5,4.5,74.2,5.4,4.8,,0.5,,,0.2,99.2
TS8,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,Glaze,Alkali,,,Local Group A,7.2,2.9,2.7,68.2,3.8,5,,7.9,1.6,,0,99.3
TS8,Termez,Transoxiana,Shottky FE GEMINI SEM with INCAPentaFETx3 EDS detector,White Slip,Alkali,,,Local Group A,2.1,0.3,2.3,89.8,2.1,0.5,,2.9,0.1,,0,100.1
